email,password_hash,first_name,last_name,college_level,bio,college_id,major_id
angel.clark@maine.edu,b85566b5189094328b59cdf885135dae6f1d71631d95977b560da6e58a9eb2fc,Angel,Clark,Freshman,Driven by solving real-world problems through code and design.,232,201
derrick.wilson@maine.edu,b3ff285d205b8c9fe235fef7890633d1373e343c473662784be97800b37b7861,Derrick,Wilson,Freshman,Driven by solving real-world problems through code and design.,842,181
jeffrey.garrison@usm.edu,6e60882a2d140771cfda0f6064f6edc6003b70028ac70a70822da964ef76a236,Jeffrey,Garrison,Sophomore,Driven by solving real-world problems through code and design.,2053,119
richard.rodriguez@student.usm.edu,35c450a70c204f0dce9ac566461cdf41ae86e413d197b0bae11cbc0833b5339d,Richard,Rodriguez,Sophomore,Computer Science student passionate about app development and AI.,1561,229
melissa.jones@maine.edu,eec94f7e902439708d78936f65284e1e9815a3216dbe50fe31852dce9e263f24,Melissa,Jones,Freshman,Driven by solving real-world problems through code and design.,387,129
christopher.lamb@student.usm.edu,5178caa03000112ab0e697e09e3f4d8ccd9bc184304b107492d7576db0b56639,Christopher,Lamb,Freshman,Driven by solving real-world problems through code and design.,354,96
jason.lane@student.usm.edu,bd02245aec58298470f69dd6508b832f78c9f23116b1d02c90a0949c659fb15b,Jason,Lane,Freshman,"Interested in data analysis, visualization, and systems security.",1377,386
samantha.berry@usm.edu,54829958c66a8a4c70f735e8de7a83e660c753de2c84467688ed7aeb05a8070e,Samantha,Berry,Graduate,"Interested in data analysis, visualization, and systems security.",1531,398
zachary.burns@maine.edu,163d77ffbed163737001b1ec1f3e1cfd7b94b8abe5c6a5c162f227781c0cafe8,Zachary,Burns,Sophomore,"Interested in data analysis, visualization, and systems security.",542,383
alexander.mosley@college.edu,2a13c14fbd4e7e9b362822fb84f3d26a23f5a6771be9f8cc6e10fed6cd2a8dae,Alexander,Mosley,Sophomore,Exploring software engineering and collaborative projects.,1443,268
kristi.dalton@college.edu,09640be4f4cd34bc3c4568353d4638af230a33c0b59e256f52d91013fddadc37,Kristi,Dalton,Freshman,Computer Science student passionate about app development and AI.,118,178
philip.mendez@maine.edu,da9ed117e8a5817cbb30d131cc91f4a9fd12d95e06f61012cfb34e3bca5fd40e,Philip,Mendez,Senior,"Interested in data analysis, visualization, and systems security.",1930,149
robert.lawson@student.usm.edu,6d28525a8f12f9f9b3e1bd69fad39854708990145c779630762f2d0a6257de74,Robert,Lawson,Freshman,Computer Science student passionate about app development and AI.,1149,371
robin.williams@usm.edu,8102ea2a9e6635910ba005192fd7d30268f30667400e97e3bd5dfafea61f46a3,Robin,Williams,Freshman,Exploring software engineering and collaborative projects.,556,398
jessica.abbott@student.usm.edu,5011f858a47e398aab0455f98c11c8c68c3da4596de03a4449cdeb8a2c8fba83,Jessica,Abbott,Senior,"Focused on machine learning, databases, and research innovation.",1556,14
monica.kennedy@maine.edu,523ab6fec56b03b6ca5609f68c252df645b9e76fbab32ba79dfa590fdaa6e480,Monica,Kennedy,Freshman,"Focused on machine learning, databases, and research innovation.",2073,336
francisco.white@maine.edu,3ec8de17db3301eb1c79a8ffa6da4bd3adf64099972b4b87cd3b1050b0c5c546,Francisco,White,Sophomore,"Focused on machine learning, databases, and research innovation.",692,343
